finess,raison_sociale,raison_sociale_longue,libcategetab,libcategagretab,code_ape,siret,adresse,telephone,date_ouverture,date_maj
380019752,ANTENNE SMUR AERODROME VERSOUD - CHU38,ANTENNE SMUR AERODROME VERSOUD - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200402,AERODROME DU VERSOUD 38420 DOMENE,0476765026,2015-09-01,2018-01-12
380019760,ANTENNE SMUR ALPES D'HUEZ - CHU38,ANTENNE SMUR ALPES D'HUEZ - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200394,ALTIPORT 38750 HUEZ,0476765026,2015-09-01,2018-01-12
380006288,CENTRE DE GERONTOLOGIE SUD - CHU38,CENTRE DE GERONTOLOGIE SUD - CHU GRENOBLE ALPES,Etablissement de Soins Longue Durée,Etablissements de Soins de Longue Durée,8710A,26380030200303,AV DE KIMBERLEY CS 90338 38434 ECHIROLLES CEDEX,0476767575,2017-11-21,2021-05-07
380028779,CENTRE DE VACCINATION INTERNATIONALE,CENTRE DE VACCINATION INTERNATIONALE CHU GRENOBLE ALPES,Centre de vaccination internationale,Dispensaires ou Centres de Soins,,,CS 10217 38043 GRENOBLE CEDEX 9,0476765003,2024-01-01,2025-04-24
380021907,CHU  L'INTERVALLE,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,75170078200020,6 BD SALENGRO 38100 GRENOBLE,0476481477,2018-01-01,2021-06-14
380021725,CHU 2CHOSESLUNE,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,78866686500027,4 RTE SAINT JEAN DE BOURNAY 38300 BOURGOIN JALLIEU,0474430226,2014-01-01,2019-04-01
380021873,CHU ALPA,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,30101236500054,17 AV DES ALPES 38300 BOURGOIN JALLIEU,0474439767,2018-01-01,2019-08-01
380022038,CHU GRENOBLE FRANCE HORIZON,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,77566670400959,271 R DE LA HOUILLE BLANCHE 38400 ST MARTIN D HERES,0476247575,2018-01-01,2019-08-26
380022020,CHU ISSUE DE SECOURS -CHATEAU BEAUMONT,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,34120123400018,3 R DU JEU DE QUILLES LE CHÂTEAU 38350 LA MURE D ISERE,0476700205,2018-01-01,2021-08-20
380015990,CHU L'ABRI SOUS LA DENT,HÉBERGEMENT D'URGENCE,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,81110468600019,301 AV DE LA RÉSISTANCE 38920 CROLLES,0675145867,2009-04-09,2021-05-03
380021899,CHU L'ABRI SOUS LA DENT,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,81110468600019,70 PL DE LA CAVE 38660 LA TERRASSE,0675145867,2018-01-01,2021-05-03
380022087,CHU L'ACCUEIL DE NUIT - ALFA3A,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,77554402602100,1 QU ANATOLE FRANCE 38200 VIENNE,0437021991,2018-01-01,2021-07-16
380021998,CHU LE RONDEAU,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,,2 R PIERRE DE COUBERTIN 38000 GRENOBLE,0476465536,2018-01-01,2019-08-26
380022053,CHU RIVHAJ,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,,30 CRS DE VERDUN 38200 VIENNE,0474532092,2018-10-12,2019-08-26
380021915,CHU SILÈNE,,Autre Centre d'Accueil,Etablissements pour Adultes et Familles en Difficulté,,75170078200020,6 BD ROGER SALENGRO 38100 GRENOBLE,0476461477,2018-01-01,2021-06-07
380795716,CSAPA DU CHUGA,CSAPA DU CHUGA,Centre soins accompagnement prévention addictologie (CSAPA),Autres Etablissements médico-sociaux,8720B,26380030200444,8 PL DU CN DE LA RESISTANCE 38400 ST MARTIN D HERES,0476542429,1976-04-04,2025-05-09
380787077,CTRE DE PLANIFICATION DU CAMPUS,CENTRE PLANIFICATION DU DOMAINE UNIVERSITAIRE,Centre de santé sexuelle,Etablissements de PMI et de Planification Familiale,8621Z,,180 R DE LA PISCINE 38402 ST MARTIN D HERES CEDEX,0476824070,1981-04-01,2017-01-18
380006429,ECOLE SANITAIRE CHU NORD GRENOBLE,ECOLE SANITAIRE CHU NORD GRENOBLE ALPES,Ecoles Formant aux Professions Sanitaires,Etablissements de Formation des Personnels Sanitaires,8532Z,26380030200295,BD DE LA CHANTOURNE BP 217 LA TRONCHE 38043 GRENOBLE CEDEX 9,0476765060,1901-01-01,2019-07-24
380784595,EHPAD CGS UBAC - CHU38,EHPAD CGS UBAC - CHU GRENOBLE ALPES,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8730A,26380030200428,AV DE KIMBERLEY 38130 ECHIROLLES,0476522590,1968-04-04,2021-05-07
380784769,EHPAD LES JARDINS DE COUBLEVIE - CHU38,,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380030200485,144 CHE DES DOMINICAINS 38500 COUBLEVIE,0476671310,1961-05-08,2024-04-09
380021741,GCS AURAGEN - HOPITAL NORD CHU38,GCS AURAGEN - HOPITAL NORD CHU38,Groupement de coopération sanitaire de moyens,Autres Etablissements Relevant de la Loi Hospitalière,,,BD DE LA CHANTOURNE 38700 LA TRONCHE,,2019-04-01,2019-04-30
380000406,HOPITAL DE VOIRON - CHU38,HOPITAL DE VOIRON - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200501,34 AV JACQUES CHIRAC 38500 VOIRON,0476671491,1904-04-04,2024-03-12
380000067,HOPITAL NORD - CHU38,HOPITAL NORD - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200014,BD DE LA CHANTOURNE 38700 LA TRONCHE,0476765026,1901-01-01,2018-01-12
380782722,HOPITAL SUD - CHU38,HOPITAL SUD - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200030,AV DE KIMBERLEY 38130 ECHIROLLES,0476767575,1968-01-06,2018-01-12
380006619,IFPS - IFMEM,ECOLE SANITAIRE CHU SUD GRENOBLE ALPES,Ecoles Formant aux Professions Sanitaires,Etablissements de Formation des Personnels Sanitaires,8542Z,26380030200337,175 AV CENTRALE 38400 ST MARTIN D HERES,0457041284,1968-01-06,2022-01-04
380021733,IFPS CHU GRENOBLE ST MARTIN D'HERES,ECOLE SANITAIRE CHU GRENOBLE ST MARTIN D'HERES,Ecoles Formant aux Professions Sanitaires,Etablissements de Formation des Personnels Sanitaires,8610Z,26380030200451,175 AV CENTRALE 38400 ST MARTIN D HERES,,2019-04-01,2019-04-12
380802728,USLD LES JARDINS DE COUBLEVIE - CHU38,USLD LES JARDINS DE COUBLEVIE - CHU DE GRENOBLE ALPES,Etablissement de Soins Longue Durée,Etablissements de Soins de Longue Durée,,26380030200493,414 CHE DES DOMINICAINS 38500 COUBLEVIE,0476671310,1904-04-04,2024-02-20
