finess,raison_sociale,raison_sociale_longue,libcategetab,libcategagretab,code_ape,siret,adresse,telephone,date_ouverture,date_maj
380786442,CLINIQUE BELLEDONNE,CLINIQUE BELLEDONNE,Etablissement de Soins Pluridisciplinaire,Etablissements de Soins de Courte Durée,8610Z,41112708700012,83 AV GABRIEL PERI 38400 ST MARTIN D HERES,0438380202,1967-06-19,2024-03-08
380785956,CLINIQUE DES CEDRES,CLINIQUE DES CEDRES,Etablissement de Soins Pluridisciplinaire,Etablissements de Soins de Courte Durée,8610Z,06750165000039,21 R ALBERT LONDRES 38130 ECHIROLLES,0456581010,1969-06-01,2024-02-13
380020123,CLINIQUE DES COTES DU RHONE,CLINIQUE DES COTES DU RHONE,Etablissement de Soins Pluridisciplinaire,Etablissements de Soins de Courte Durée,8610Z,82176801700021,R FERNAND LEGER 38150 ROUSSILLON,0474292828,2016-07-27,2018-06-21
380780296,CLINIQUE DU DAUPHINE,CLINIQUE DU DAUPHINE,Maison de Santé pour Maladies Mentales,Autres Etablissements de Lutte contre les Maladies Mentales,8610Z,05850439000020,252 RTE DE SAINT NIZIER 38180 SEYSSINS,0476989898,1958-01-01,2025-03-26
380780312,CLINIQUE FSEF GRENOBLE LA TRONCHE,CLINIQUE FSEF GRENOBLE LA TRONCHE,Etablissement de Soins Pluridisciplinaire,Etablissements de Soins de Courte Durée,8610Z,77568300600123,10 AV DES MAQUIS DU GRESIVAUDAN 38700 LA TRONCHE,0438380820,1961-01-01,2021-05-26
380005918,CLINIQUE LES GRANGES,,Etablissement de santé privé autorisé en SSR,Etablissements de santé privé autorisés en SSR,8610Z,65552024500268,8 R DE LORRAINE 38130 ECHIROLLES,0438212600,2007-10-26,2024-03-04
380780197,CLINIQUE ST VINCENT DE PAUL MATERNITE,CLINIQUE SAINT VINCENT DE PAUL MATERNITE,Etablissement de Soins Pluridisciplinaire,Etablissements de Soins de Courte Durée,8610Z,45150920200029,70 AV DU MEDIPOLE 38300 BOURGOIN JALLIEU,0474436060,2009-02-13,2023-04-11
380020669,EML CLINIQUE RADIOLOGIE - CEDRES,EML CLINIQUE RADIOLOGIE - CEDRES,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,8610Z,77954682900010,50 AV GRUGLIASCO 38130 ECHIROLLES,,2017-04-14,2017-09-19
380028639,EML CLINIQUE RADIOLOGIE SCAN - SESG,SCM CLINIQUE DE RADIOLOGIE,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,6619A,44312234600036,15 PL ALEXANDRE GAGNEUX 38590 ST ETIENNE DE ST GEOIRS,,2025-04-15,2025-06-11
380009449,EML GIE GIMMECA SCAN EAUX CLAIR ALEMBE,SCANNER SUR CLINIQUES EAUX CLAIRES ET D'ALEMBERT,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,,48523843000014,8 R DOCTEUR CALMETTE 38028 GRENOBLE CEDEX 1,,2007-08-29,2024-04-17
380020610,EML IRM BELLEDONNE-CLINIQUE BELLEDONNE,EML IRM BELLEDONNE-CLINIQUE BELLEDONNE,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,6619A,45205336600012,83 AV GABRIEL PERI 38400 ST MARTIN D HERES,,2017-04-12,2017-05-03
380020594,EML IRM DAUPHINE - CLINIQUE BELLEDONNE,EML IRM DAUPHINE - CLINIQUE BELLEDONNE,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,6619A,53408812500016,83 AV GABRIEL PERI 38400 ST MARTIN D HERES,,2017-04-12,2017-05-03
380019653,EML SC SCC SCANNER CLINIQUE CHARTREUSE,,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,,,10 R DU DOCTEUR BUTERLIN 38500 VOIRON,,2015-05-18,2024-04-17
380020602,EML SCAN BELLEDONNE - CLIN. BELLEDONNE,EML SCAN BELLEDONNE - CLINIQUE BELLEDONNE,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,8219Z,80047936200017,83 AV GABRIEL PERI 38400 ST MARTIN D HERES,,2017-04-12,2017-05-03
380020628,EML SCAN CLINIQUE ST-VINCENT-DE-PAUL,EML SCAN CLINIQUE ST-VINCENT-DE-PAUL,Entité Ayant Autorisation,Autres Etablissements Relevant de la Loi Hospitalière,8299Z,50946632200013,70 AV DU MEDIPOLE 38300 BOURGOIN JALLIEU,,2017-04-12,2017-05-10
380027169,HDJ DE LA CLINIQUE DU DAUPHINE,HOPITAL DE JOUR DE LA CLINIQUE DU DAUPHINE,Maison de Santé pour Maladies Mentales,Autres Etablissements de Lutte contre les Maladies Mentales,,05850439000046,32 R DES BERGES 38000 GRENOBLE,,2023-02-20,2023-10-18
380780288,NOUVELLE CLINIQUE DE CHARTREUSE,NOUVELLE CLINIQUE DE CHARTREUSE,Etablissement de Soins Pluridisciplinaire,Etablissements de Soins de Courte Durée,8610Z,80191658600010,10 R DOCTEUR BUTERLIN 38500 VOIRON,0428633838,1968-01-29,2019-06-28
