finess,raison_sociale,raison_sociale_longue,libcategetab,libcategagretab,code_ape,siret,adresse,telephone,date_ouverture,date_maj
380785048,EHPAD ABBAYE,EHPAD ABBAYE,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,34169095600055,33 R JEAN BART 38100 GRENOBLE,0476542427,1969-04-15,2023-09-15
380021238,EHPAD ANDRE LEO,EHPAD ANDRE LEO GRENOBLE,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,,26381006101046,20 R EUGENE SUE 38100 GRENOBLE,0456856020,2022-07-29,2023-10-17
380019323,EHPAD ARCADIE,EHPAD ARCADIE,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,,26381004600049,9 R DES LILAS 38420 DOMENE,0476772927,1975-07-01,2024-02-05
380785071,EHPAD BEL HORIZON,EHPAD BEL HORIZON,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,,77554456201486,12 R DE LA GARE 38610 GIERES,0476462926,1904-04-04,2026-02-26
380802595,EHPAD BELLE VALLEE FROGES,EHPAD LA BELLE VALLEE,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,20001816600120,R DE BRETAGNE 38190 FROGES,0476453600,1993-08-02,2024-06-27
380781575,EHPAD BELLEFONTAINE,EHPAD BELLEFONTAINE DU PEAGE DE ROUSSILLON,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380016100014,4 R BELLEFONTAINE 38550 LE PEAGE DE ROUSSILLON,0474111616,1904-04-04,2017-04-21
380010058,EHPAD BOIS BALLIER,EHPAD BOIS BALLIER,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,,77961294400032,17 CHE DE LA CHENERAIE 38070 ST QUENTIN FALLAVIER,0474999696,2009-06-01,2024-11-29
380012708,EHPAD BOIS D'ARTAS,EHPAD BOIS D'ARTAS,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,,77559584600319,1 R AUGEREAU 38000 GRENOBLE,0438022540,2012-02-13,2024-01-03
380785063,EHPAD BON RENCONTRE,EHPAD BON RENCONTRE,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,43997564000269,30 R DES OBLATS 38470 NOTRE DAME DE L OSIER,0476367266,1934-05-24,2023-09-15
380784595,EHPAD CGS UBAC - CHU38,EHPAD CGS UBAC - CHU GRENOBLE ALPES,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8730A,26380030200428,AV DE KIMBERLEY 38130 ECHIROLLES,0476522590,1968-04-04,2021-05-07
380794685,EHPAD CH ST-GEOIRE EN VALDAINE,EHPAD CH DE SAINT GEOIRE EN VALDAINE,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380022900035,1001 RTE DE PLAMPALAIS 38620 ST GEOIRE EN VALDAINE,0476327500,1904-04-04,2017-04-21
380013896,EHPAD CHAMPS FLEURI ECHIROLLES,EHPAD CHAMPS FLEURI ECHIROLLES,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8730A,26381036800047,13 R PAUL HEROULT 38130 ECHIROLLES,0438499110,1999-06-22,2017-04-21
380781609,EHPAD CHATEAU DE LA SERRA,EHPAD CHATEAU DE LA SERRA,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380034400016,51 R DES PRUNUS 38280 VILLETTE D ANTHON,0478312512,1961-01-01,2024-05-30
