finess,raison_sociale,raison_sociale_longue,libcategetab,libcategagretab,code_ape,siret,adresse,telephone,date_ouverture,date_maj
380021519,ADDICTOLOGIE CONSULTATIONS,ADDICTOLOGIE CONSULTATIONS,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,,26380021102286,8 PL DU CN DE LA RESISTANCE 38400 ST MARTIN D HERES,0456588960,2018-10-10,2023-03-14
380019752,ANTENNE SMUR AERODROME VERSOUD - CHU38,ANTENNE SMUR AERODROME VERSOUD - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200402,AERODROME DU VERSOUD 38420 DOMENE,0476765026,2015-09-01,2018-01-12
380019760,ANTENNE SMUR ALPES D'HUEZ - CHU38,ANTENNE SMUR ALPES D'HUEZ - CHU DE GRENOBLE ALPES,Centre Hospitalier Régional (C.H.R.),Centres Hospitaliers Régionaux,8610Z,26380030200394,ALTIPORT 38750 HUEZ,0476765026,2015-09-01,2018-01-12
380000133,CH ALPES ISERE,CENTRE HOSPITALIER ALPES ISERE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,8610Z,26380021100017,3 R DE LA GARE BP 100 38521 ST EGREVE CEDEX,0476564256,1904-04-04,2020-02-04
380000356,CH DE LA TOUR DU PIN,CENTRE HOSPITALIER DE LA TOUR DU PIN,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,8610Z,26380029400013,12 BD VICTOR HUGO BP 207 38110 LA TOUR DU PIN,0474832727,1904-04-04,2024-02-05
380000364,CH DE MORESTEL,CENTRE HOSPITALIER DE MORESTEL,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,8610Z,26380014600015,539 R FRANCOIS PERRIN BP 10 38510 MORESTEL,0474800244,1904-04-04,2024-10-30
380000059,CH DE RIVES,CH DE RIVES,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380018700019,R DE L'HOPITAL BP 105 38147 RIVES SUR FURE CEDEX,0476357202,1901-01-01,2024-03-21
380000125,CH DE SAINT GEOIRE EN VALDAINE,CENTRE HOSPITALIER DE SAINT GEOIRE EN VALDAINE,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,8610Z,26380022900019,1101 RTE PLAMPALAIS 38620 ST GEOIRE EN VALDAINE,0476075016,1904-04-04,2024-11-12
380000109,CH DE SAINT LAURENT DU PONT,,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380025200011,280 CHE DES MARTINS 38380 ST LAURENT DU PONT,0476062600,1904-04-04,2013-08-29
380000075,CH DE TULLINS SITE PERRET,,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380031000017,18 BD MICHEL PERRET 38210 TULLINS,0476073030,1901-01-01,2024-04-24
380000026,CH FABRICE MARCHIOL LA MURE,CENTRE HOSPITALIER FABRICE MARCHIOL LA MURE,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380015300011,62 R DES ALPES BP 56 38350 LA MURE D ISERE,0476814200,1912-01-01,2019-01-16
380000091,CH INTERCOMMUNAL VERCORS ISERE,CENTRE HOSPITALIER INTERCOMMUNAL VERCORS ISERE,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380026000014,1 AV FELIX FAURE BP 8 38161 ST MARCELLIN CEDEX,0476649090,1901-01-01,2023-12-28
380000174,CH LUCIEN HUSSEL DE VIENNE,CENTRE HOSPITALIER LUCIEN HUSSEL DE VIENNE,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380032800019,MTE DU DOCTEUR CHAPUIS BP 127 38200 VIENNE,0474313333,1936-01-01,2019-07-18
380000034,CH PIERRE OUDOT BOURGOIN JALLIEU,,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380006200238,30 AV DU MEDIPOLE BP 40348 38302 BOURGOIN JALLIEU CEDEX,0474273099,1904-04-04,2024-12-12
380000018,CH RHUMATOLOGIQUE D'URIAGE,CENTRE HOSPITALIER RHUMATOLOGIQUE D'URIAGE,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380027800016,1750 RTE D'URIAGE CS 70018 38410 ST MARTIN D URIAGE,0476764800,1977-08-22,2019-03-28
380000042,CH YVES TOURAINE,CH YVES TOURAINE,Centre Hospitalier (C.H.),Centres Hospitaliers,8610Z,26380017900016,205 R LIEUTENANT RICHARD CS 00001 38480 LE PONT DE BEAUVOISIN,0456225001,1936-04-04,2021-08-23
380000166,CHI DE LUZY-DUFEILLANT,CENTRE HOSPITALIER INTERCOMMUNAL DE LUZY-DUFEILLANT,"Centre hospitalier, ex Hôpital local",Hôpitaux Locaux,8610Z,26380003900012,41 AV LOUIS MICHEL VILLAZ 38270 BEAUREPAIRE,0474791111,1901-01-01,2024-07-12
380022178,CONSULTATIONS SOUFFRANCE ET TRAVAIL,CONSULTATIONS SOUFFRANCE ET TRAVAIL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,,26380021102328,8 PL DU CN DE LA RESISTANCE 38400 ST MARTIN D HERES,,2019-10-10,2023-03-14
380802942,CSLD HL DE LA TOUR DU PIN,LONG SEJOUR DE L'HOPITAL DE LA TOUR DU PIN,Etablissement de Soins Longue Durée,Etablissements de Soins de Longue Durée,8610Z,26380029400039,12 BD VICTOR HUGO 38110 LA TOUR DU PIN,0474832727,1990-01-01,2026-02-18
380021493,CTRE TRAITEMENT AMBULATOIRE INTENSIF,CENTRE DE TRAITEMENT AMBULATOIRE INTENSIF,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,,26380021102260,8 PL DU CN DE LA RESISTANCE 38400 ST MARTIN D HERES,0456588980,2018-10-01,2023-03-14
380794594,EHPAD DE L'HOP LOCAL DE LA TOUR DU PIN,EHPAD DE L'HOPITAL LOCAL DE LA TOUR DU PIN,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380029400021,12 BD VICTOR HUGO 38110 LA TOUR DU PIN,0474832727,1904-04-04,2017-04-21
380010959,EHPAD DE L'HOPITAL LOCAL DE TULLINS,EHPAD DE L'HOPITAL LOCAL DE TULLINS,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380031000066,18 BD MICHEL PERRET BP 57 38210 TULLINS,0476073030,2008-01-02,2025-09-09
380794925,EHPAD DU CH LUCIEN HUSSEL,EHPAD DU CENTRE HOSPITALIER LUCIEN HUSSEL,Etablissement d'hébergement pour personnes âgées dépendantes,Etablissements d'Hébergement pour Personnes Âgées,8710A,26380032800233,MONT SALOMON 38200 VIENNE,0474313203,1901-01-01,2018-02-20
380012799,ESMPI SITE BOURGOIN-JALLIEU,ESMPI SITE BOURGOIN-JALLIEU,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,8610Z,30101236500039,100 AV DU MEDIPOLE 38307 BOURGOIN JALLIEU CEDEX,0474835300,2008-11-13,2024-11-06
380019372,ESMPI SITE DE MALISSOL,ESMPI SITE DE MALISSOL,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,8610Z,,R DES FRERES LUMIERE 38200 VIENNE,0474315071,2014-11-03,2020-12-21
380020537,ESMPI SITE VIENNE,ESMPI SITE VIENNE,Centre Hospitalier Spécialisé lutte Maladies Mentales,Centres Hospitaliers Spécialisés Lutte Maladies Mentales,8610Z,,MTE DU DOCTEUR CHAPUIS CS 50128 38217 VIENNE CEDEX,0474313393,2017-01-01,2024-11-06
